member1;member2;common_votes
Darius Jakavičius;Lilija Vaitiekūnienė;1460
Darius Razmislevičius;Lilija Vaitiekūnienė;1449
Lilija Vaitiekūnienė;Violeta Turauskaitė;1445
Karolis Podolskis;Roma Janušonienė;1435
Lilija Vaitiekūnienė;Šarūnas Šukevičius;1432
Darius Jakavičius;Darius Razmislevičius;1422
Ingrida Braziulienė;Lilija Vaitiekūnienė;1416
Darius Jakavičius;Ingrida Braziulienė;1409
Lilija Vaitiekūnienė;Roma Janušonienė;1402
Darius Jakavičius;Violeta Turauskaitė;1400
Karolis Podolskis;Lilija Vaitiekūnienė;1383
Ingrida Braziulienė;Tadas Barauskas;1382
Darius Jakavičius;Roma Janušonienė;1379
Lilija Vaitiekūnienė;Vytautas Grubliauskas;1378
Ingrida Braziulienė;Vytautas Grubliauskas;1377
Darius Razmislevičius;Violeta Turauskaitė;1371
Ingrida Braziulienė;Violeta Turauskaitė;1370
Arūnas Dudėnas;Lilija Vaitiekūnienė;1368
Darius Jakavičius;Tadas Barauskas;1368
Andrius Bagdonas;Jevgenij Šuklin;1367
Darius Jakavičius;Šarūnas Šukevičius;1366
Karolis Podolskis;Violeta Turauskaitė;1359
Alvydas Mockus;Vytautas Grubliauskas;1358
Darius Jakavičius;Vytautas Grubliauskas;1357
Darius Razmislevičius;Roma Janušonienė;1355
Roma Janušonienė;Violeta Turauskaitė;1353
Alvydas Mockus;Lilija Vaitiekūnienė;1352
Darius Razmislevičius;Vytautas Grubliauskas;1350
Lilija Vaitiekūnienė;Paulius Visockas;1348
Darius Jakavičius;Paulius Visockas;1347
Lilija Vaitiekūnienė;Tadas Barauskas;1346
Darius Razmislevičius;Ingrida Braziulienė;1345
Violeta Turauskaitė;Vytautas Grubliauskas;1345
Darius Jakavičius;Karolis Podolskis;1343
Arūnas Dudėnas;Ingrida Braziulienė;1340
Ingrida Braziulienė;Šarūnas Šukevičius;1338
Tadas Barauskas;Šarūnas Šukevičius;1336
Alvydas Mockus;Darius Razmislevičius;1334
Mantas Poškus;Tadas Sadauskis;1334
Alvydas Mockus;Arūnas Dudėnas;1334
Darius Razmislevičius;Karolis Podolskis;1333
Arūnas Dudėnas;Darius Jakavičius;1333
Darius Razmislevičius;Šarūnas Šukevičius;1333
Ingrida Braziulienė;Tadas Sadauskis;1330
Arūnas Dudėnas;Vytautas Grubliauskas;1330
Violeta Turauskaitė;Šarūnas Šukevičius;1328
Alvydas Mockus;Violeta Turauskaitė;1325
Darius Jakavičius;Tadas Prajara;1324
Arūnas Dudėnas;Darius Razmislevičius;1323
Arūnas Dudėnas;Violeta Turauskaitė;1323
Alvydas Mockus;Darius Jakavičius;1322
Darius Razmislevičius;Tadas Barauskas;1322
Darius Razmislevičius;Paulius Visockas;1320
Lilija Vaitiekūnienė;Tadas Sadauskis;1317
Inga Ruginienė;Raminta Popovienė;1317
Roma Janušonienė;Vytautas Grubliauskas;1315
Rimantas Sinkevičius;Vytautas Grubliauskas;1310
