member;party
Agnė Bilotaitė;Tėvynės sąjunga–LKD
Gintarė Skaistė;Tėvynės sąjunga–LKD
Emanuelis Zingeris;Tėvynės sąjunga–LKD
Kazys Starkevičius;Tėvynės sąjunga–LKD
Radvilė Morkūnaitė-Mikulėnienė;Tėvynės sąjunga–LKD
Laurynas Kasčiūnas;Tėvynės sąjunga–LKD
Paulė Kuzmickienė;Tėvynės sąjunga–LKD
Vytautas Kernagis;Tėvynės sąjunga–LKD
Viktoras Pranckietis;Liberalai
Vytautas Juozapaitis;Tėvynės sąjunga–LKD
Arvydas Pocius;Tėvynės sąjunga–LKD
Ingrida Šimonytė;Tėvynės sąjunga–LKD
Aistė Gedvilienė;Tėvynės sąjunga–LKD
Arvydas Anušauskas;Tėvynės sąjunga–LKD
Mindaugas Lingė;Tėvynės sąjunga–LKD
Viktorija Čmilytė-Nielsen;Liberalai
Eugenijus Gentvilas;Liberalai
Jurgis Razma;Tėvynės sąjunga–LKD
Ričardas Juška;Tėvynės sąjunga–LKD
Daiva Ulbinaitė;Tėvynės sąjunga–LKD
Dainius Kreivys;Tėvynės sąjunga–LKD
Jurgita Sejonienė;Tėvynės sąjunga–LKD
Giedrė Balčytytė;Tėvynės sąjunga–LKD
Lukas Savickas;Demokratai 
Matas Maldeikis;Tėvynės sąjunga–LKD
Virgilijus Alekna;Liberalai
Dovilė Šakalienė;Socialdemokratai
Liutauras Kazlavickas;Tėvynės sąjunga–LKD
Audronius Ažubalis;Tėvynės sąjunga–LKD
Raimondas Kuodis;Tėvynės sąjunga–LKD
Arūnas Valinskas;Tėvynės sąjunga–LKD
Audrius Petrošius;Tėvynės sąjunga–LKD
Šarūnas Birutis;Socialdemokratai
Simonas Gentvilas;Liberalai
Kęstutis Mažeika;Demokratai 
Simonas Kairys;Liberalai
Valdas Rakutis;Tėvynės sąjunga–LKD
Vitalijus Gailius;Liberalai
Algirdas Butkevičius;Demokratai 
Arminas Lydeka;Liberalai
Raminta Popovienė;Socialdemokratai
Inga Ruginienė;Socialdemokratai
Agnė Širinskienė;Demokratai 
Ruslanas Baranovas;Socialdemokratai
Rūta Miliūtė;Demokratai 
Viktoras Fiodorovas;Mišri grupė (Išsikėlęs savarankiškai)
Eugenijus Sabutis;Socialdemokratai
Giedrimas Jeglinskas;Demokratai 
Giedrius Drukteinis;Socialdemokratai
Saulius Skvernelis;Demokratai 
Gintautas Paluckas;Socialdemokratai
Rasa Budbergytė;Socialdemokratai
Edita Rudelienė;Liberalai
Aušrinė Norkienė;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Česlav Olševski;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Algimantas Radvila;Socialdemokratai
Agnė Jakavičiutė-Miliauskienė;Demokratai 
Saulius Čaplinskas;Socialdemokratai
Linas Kukuraitis;Demokratai 
Rita Tamašunienė;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Rima Baškienė;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Tomas Tomilinas;Demokratai 
Tomas Martinaitis;Socialdemokratai
Jaroslav Narkevič;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Jevgenij Šuklin;Liberalai
Saulius Bucevičius;Nemuno aušra
Jekaterina Rojaka;Nemuno aušra
Linas Balsys;Socialdemokratai
Remigijus Motuzas;Socialdemokratai
Remigijus Žemaitaitis;Nemuno aušra
Zigmantas Balčytis;Demokratai 
Birutė Vėsaitė;Socialdemokratai
Dainius Gaižauskas;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Artūras Zuokas;Mišri grupė (Laisvė ir teisingumas)
Ligita Girskienė;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Domas Griškevičius;Demokratai 
Julius Sabatauskas;Socialdemokratai
Artūras Skardžius;Nemuno aušra
Jurgita Šukevičienė;Socialdemokratai
Jūratė Zailskienė;Socialdemokratai
Daiva Žebelienė;Nemuno aušra
Ramūnas Vyžintas;Socialdemokratai
Indrė Kižienė;Socialdemokratai
Juozas Olekas;Socialdemokratai
Algirdas Sysas;Socialdemokratai
Andrius Busila;Socialdemokratai
Audrius Radvilavičius;Socialdemokratai
Saulius Luščikas;Socialdemokratai
Karolis Neimantas;Nemuno aušra
Modesta Petrauskaitė;Socialdemokratai
Martynas Katelynas;Socialdemokratai
Dainoras Bradauskas;Nemuno aušra
Matas Skamarakas;Socialdemokratai
Kęstutis Bilius;Nemuno aušra
Linas Jonauskas;Socialdemokratai
Alvydas Mockus;Socialdemokratai
Bronis Ropė;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Valius Ąžuolas;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Tadas Barauskas;Socialdemokratai
Andrius Bagdonas;Liberalai
Kęstutis Vilkauskas;Socialdemokratai
Laurynas Šedvydis;Socialdemokratai
Tadas Prajara;Socialdemokratai
Vaida Aleknavičienė;Socialdemokratai
Rimas Jonas Jankūnas;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Martynas Gedvilas;Nemuno aušra
Antanas Nedzinskas;Socialdemokratai
Eimantas Kirkutis;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Robert Puchovič;Nemuno aušra
Vytautas Grubliauskas;Socialdemokratai
Orinta Leiputė;Socialdemokratai
Linas Urmanavičius;Demokratai 
Robertas Kaunas;Socialdemokratai
Paulius Visockas;Socialdemokratai
Ilona Gelažnikienė;Socialdemokratai
Dainius Varnas;Mišri grupė (eks Nemuno aušra)
Laura Asadauskaitė-Zadneprovskienė;Socialdemokratai
Vytautas Sinica;Mišri grupė (Nacionalinis susivienijimas)
Lina Šukytė-Korsakė;Nemuno aušra
Vitalijus Šeršniovas;Mišri grupė (Išsikėlęs savarankiškai)
Šarūnas Šukevičius;Socialdemokratai
Rimantas Sinkevičius;Socialdemokratai
Ignas Vėgėlė;Lietuvos valstiečių, žaliųjų ir KŠS frakcija
Aidas Gedvilas;Nemuno aušra
Karolis Podolskis;Socialdemokratai
Vytautas Jucius;Nemuno aušra
Arūnas Dudėnas;Socialdemokratai
Tomas Domarkas;Nemuno aušra
Daiva Petkevičienė;Nemuno aušra
Dalia Asanavičiūtė-Gružauskienė;Tėvynės sąjunga–LKD
Ingrida Braziulienė;Socialdemokratai
Raimondas Šukys;Nemuno aušra
Darius Razmislevičius;Socialdemokratai
Lilija Vaitiekūnienė;Socialdemokratai
Tadas Sadauskis;Nemuno aušra
Roma Janušonienė;Socialdemokratai
Violeta Turauskaitė;Socialdemokratai
Darius Jakavičius;Socialdemokratai
Petras Dargis;Nemuno aušra
Mantas Poškus;Nemuno aušra
Dalia Asanavičiūtė;Tėvynės sąjunga–LKD
Liudas Mažylis;Tėvynės sąjunga–LKD
Žygimantas Pavilionis;Tėvynės sąjunga–LKD
